id,alcance,nombre,inst,desc,estado,monto,cofin,quien,cats,region,comunas,abre,cierra,link,req,pasos,ejemplos,caso
11,municipal,Fondos Concursables — Municipalidad de Santiago,Municipio de Santiago,"$600 millones anuales para financiar proyectos en seguridad, deporte, cultura, medio ambiente y desarrollo vecinal. Proceso 100% online.",abierto,Según categoría,No requerido,"Juntas de vecinos, clubes deportivos, centros de madres, ONGs con personalidad jurídica de Santiago.",Social|Cultura|Deporte|Seguridad|Medio Ambiente,Región Metropolitana,Santiago,Mar 2026,Por confirmar,https://munistgo.cl/fondos,"Organización con al menos 3 años de antigüedad, personalidad jurídica vigente, acciones territoriales en Santiago.",Ingresa a munistgo.cl/fondos · Descarga bases y formulario · Postula 100% online · Adjunta documentos requeridos · Sigue el cronograma oficial,📷 Cámaras de vigilancia y alumbrado en pasajes|🎭 Obra de teatro o festival cultural del barrio|⚽ Equipamiento para club deportivo juvenil|🌱 Proyecto de compostaje y reciclaje urbano|♿ Adaptación de sede para accesibilidad universal,El Centro Cultural Lo Barnechea financió una muestra de artes visuales con artistas locales que reunió a más de 500 vecinos durante tres fines de semana.
12,municipal,FONDEVE + Corazón de Barrio + Ñuñoa Más Segura,Municipio de Ñuñoa,"Tres fondos con $300 millones en total: FONDEVE hasta $5M para juntas de vecinos, Corazón de Barrio para cultura y arte, y Ñuñoa Más Segura para prevención.",abierto,Hasta $5.000.000,No requerido,"Juntas de vecinos, organizaciones culturales, deportivas y de seguridad de la comuna de Ñuñoa.",Sede Vecinal|Cultura|Seguridad,Región Metropolitana,Ñuñoa,May 2026,Por confirmar,https://nunoa.cl,"Personalidad jurídica vigente en la municipalidad de Ñuñoa, proyecto ejecutable hasta el 31 de diciembre 2026.",Descarga bases en nunoa.cl · Elige la línea que aplica a tu proyecto · Completa el formulario · Postula dentro del plazo,🏚️ FONDEVE: reparación o equipamiento de sede vecinal hasta $5M|🎭 Corazón de Barrio: murales festivales y talleres de arte|🔒 Ñuñoa Más Segura: alarmas iluminación y prevención barrial|🌿 Jardines y ornamentación del pasaje o calle|👶 Actividades recreativas para niños del barrio,La Junta de Vecinos Sector Irarrázaval (Ñuñoa) ganó el fondo Corazón de Barrio para financiar un mural histórico que hoy es ícono del barrio.
13,municipal,FONDEVE — Municipalidad de Providencia,Municipio de Providencia,Fondo de desarrollo vecinal para Juntas de Vecinos de Providencia con $1.000 millones disponibles. Postulación digital con Clave Única.,proximo,Según proyecto,No requerido,Juntas de vecinos con personalidad jurídica vigente en la comuna de Providencia.,Sede Vecinal|Social,Región Metropolitana,Providencia,Por confirmar,Por confirmar,https://tramites.providencia.cl,Clave Única o Clave Vecino para postular online. Comité de Administración debe completar el formulario digital.,Ingresa a tramites.providencia.cl · Usa Clave Única · Selecciona trámite FONDEVE 2026 · Completa formulario digitalmente · Agrega dos correos de contacto,🔧 Reparación de techos muros y espacios comunes deteriorados|💡 Mejoramiento de iluminación en áreas comunes|💧 Arreglo de cañerías y problemas de humedad|🏗️ Refuerzo estructural en edificios con riesgo|♿ Instalación de rampas y accesibilidad universal,"Una comunidad en Marchant Pereira (Providencia) reparó el techo completo de su edificio gracias al FONDEVE, resolviendo humedad que afectaba a 40 familias."
14,municipal,FONDEVE + Fondos Concursables — Las Condes,Municipio de Las Condes,Dos líneas: FONDEVE para mejoramiento de infraestructura comunitaria y Fondos Concursables generales para organizaciones sin fines de lucro.,cerrado,Según proyecto,Cofinanciamiento en FONDEVE,Juntas de Vecinos y organizaciones comunitarias con personalidad jurídica de Las Condes.,Sede Vecinal|Social|Cultura|Deporte,Región Metropolitana,Las Condes,Abr 2026,18 may 2026,https://lascondes.cl/beneficios/financiamiento-de-proyectos,"Personalidad jurídica de Las Condes vigente, directorio activo, rendición de cuentas anteriores al día.",Revisa bases en lascondes.cl · Envía formulario a postulaciones.ffcc@lascondes.cl · Adjunta todos los anexos · No se aceptan fuera de plazo,🏚️ Mejoramiento de infraestructura y bienes comunes|💡 Eficiencia energética: paneles solares o LED|🔒 Rejas intercomunicadores y sistemas de alarma|🌳 Áreas verdes y paisajismo del condominio|♿ Accesibilidad universal en espacios comunes,"Una comunidad de Las Condes instaló paneles solares en áreas comunes gracias al FONDEVE, reduciendo en un 40% el gasto en electricidad."
15,regional,Fondos de Vinculación con la Comunidad — GORE Valparaíso,Gobierno Regional Valparaíso,"Fondo regional de $2.500 millones para organizaciones comunitarias de la región, incluyendo juntas de vecinos, sindicatos y pueblos originarios.",proximo,Según bases regionales,No requerido,"Organizaciones comunitarias, juntas de vecinos, sindicatos, clubes, entidades culturales y religiosas de Valparaíso.",Social|Cultura|Deporte,Valparaíso,,Por confirmar,Por confirmar,https://gorevalparaiso.cl,"Personalidad jurídica vigente, domicilio en la Región de Valparaíso. El GORE realiza capacitaciones en terreno.",Revisa bases en gorevalparaiso.cl · Asiste a capacitación presencial o virtual · Prepara el formulario · Postula antes del plazo regional,🎭 Festival cultural con identidad regional|⚽ Campeonato deportivo provincial o regional|🌿 Reforestación y recuperación de quebradas|🤝 Programa de inclusión para pueblos originarios|👴 Centro de día para adultos mayores rurales,La Agrupación Comunitaria Mapuche Lof Mapu (Olmué) financió un encuentro cultural intercultural con más de 300 asistentes que rescató tradiciones ancestrales.
16,municipal,FONDECOV — Fondo de Desarrollo Comunitario y Vecinal Temuco,Municipio de Temuco,Instrumento de participación ciudadana que permite a las organizaciones de Temuco definir y priorizar en qué se invierten los fondos de su territorio.,proximo,Según bases 2026,No requerido,"Juntas de vecinos, organizaciones funcionales, comunidades indígenas y organizaciones deportivas de Temuco.",Social|Sede Vecinal|Cultura,La Araucanía,Temuco,Por confirmar,Por confirmar,https://temuco.cl/vecinos/fondo-de-desarrollo-comunitario-y-vecinal,"Personas jurídicas sin fines de lucro vigentes, incluyendo comunidades indígenas y organizaciones deportivas.",Revisa bases en temuco.cl · Participa en asambleas de priorización · Presenta proyecto · Evaluación y adjudicación,🗳️ Asambleas donde los vecinos deciden el proyecto|🌱 Huertos comunitarios y soberanía alimentaria|🎭 Rescate de tradiciones culturales mapuche y locales|🏚️ Mejoramiento de sedes de comunidades indígenas|📚 Talleres educativos y de formación comunitaria,La Comunidad Indígena Pewenche del sur de Temuco priorizó en asamblea un huerto comunitario que hoy abastece verduras a 25 familias del sector.
17,municipal,Fondos Concursables Puerto Valparaíso,Puerto Valparaíso,Programa privado-comunitario del puerto para financiar proyectos de organizaciones sociales de Valparaíso. Incluye el Fondo Aniversario para el Barrio Puerto.,cerrado,Según categoría,No requerido,"Juntas de vecinos, clubes deportivos, clubes de adulto mayor y organizaciones funcionales de Valparaíso.",Social|Cultura|Deporte,Valparaíso,Valparaíso,31 mar 2026,24 abr 2026,https://puertovalparaiso.cl,Ser organización social de la ciudad de Valparaíso. Postulación 100% digital.,Revisa bases en puertovalparaiso.cl · Regístrate en plataforma · Completa formulario online · Resultados el 23 de julio 2026,⚓ Proyectos del Barrio Puerto con identidad patrimonial|🎭 Actividades culturales vinculadas al patrimonio portuario|🏃 Iniciativas deportivas para clubes del sector|🌿 Mejoramiento de espacios verdes costeros|👴 Programas para adultos mayores del sector portuario,El Club de Adulto Mayor Copihue de Oro (Placilla) compró equipamiento para talleres semanales de manualidades y actividad física gracias a este fondo.
18,nacional,Fondo Nacional Adulto Mayor — SENAMA,SENAMA,"Financia proyectos autogestionados de organizaciones de personas mayores en voluntariado, vida saludable, inclusión digital, recreación y actividades productivas.",cerrado,Según proyecto,No requerido,Organizaciones de personas mayores con personalidad jurídica vigente. Todos sus integrantes deben tener 60 años o más.,Social,Nacional,,Mar 2026,8 may 2026,https://fondoweb.senama.cl,"Personalidad jurídica vigente, RUT organización, Certificado de vigencia no mayor a 90 días, Clave Única del representante.",Regístrate en fondoweb.senama.cl · Completa formulario de postulación online · Adjunta documentos · Consultas al fondo@senama.gob.cl,🏃 Talleres de vida saludable y actividad física|💻 Inclusión digital para adultos mayores|🎭 Actividades recreativas y culturales|🤝 Programas de voluntariado comunitario|🌱 Actividades productivas que mejoran calidad de vida,Un club de adultos mayores de Temuco financió un programa de yoga y talleres de uso de smartphone para 40 personas mayores de 70 años.
19,nacional,Fondo para la Equidad de Género — SERNAMEG,SernamEG,"Financia proyectos liderados por mujeres o personas naturales que promuevan participación, asociatividad y liderazgo femenino en sus comunidades.",proximo,Hasta $3.000.000,No requerido,Personas naturales y organizaciones sin fines de lucro de todas las regiones del país.,Social,Nacional,,Abr 2026,Por confirmar,https://fondos.gob.cl/ficha/sernameg/equidad-de-genero/,"Persona natural: acreditar identidad y capacidad de ejecución. Persona jurídica: sin fines de lucro, inscrita en registro de personas jurídicas receptoras de fondos públicos.",Ingresa a fondos.gob.cl · Busca Fondo Equidad de Género SERNAMEG · Descarga bases · Postula online en el periodo indicado,👩 Talleres de liderazgo y emprendimiento para mujeres|🤝 Redes de apoyo y asociatividad femenina en el barrio|📢 Proyectos de difusión de derechos de la mujer|🌍 Iniciativas de equidad de género en comunidades rurales|👩‍👧 Programas de apoyo para mujeres jefas de hogar,Una vecina de Magallanes lideró un proyecto de red de apoyo para mujeres rurales que hoy conecta a más de 30 mujeres de distintos sectores.
20,nacional,Programa 4 a 7 — SernamEG,SernamEG,Cuidado integral y gratuito para hijos e hijas de mujeres trabajadoras después del horario escolar. Funciona 12 meses al año incluyendo enero y febrero.,abierto,Gratuito,No requerido,Mujeres trabajadoras con hijos o hijas en edad escolar en establecimientos educacionales participantes.,Mujer|Social,Nacional,,Mar 2026,Según establecimiento,https://sernameg.gob.cl,Ser mujer trabajadora. El programa opera en establecimientos educacionales específicos. Inscripción directa en el establecimiento participante.,Revisa en sernameg.gob.cl qué establecimientos participan en tu región · Inscribe a tu hijo o hija directamente en el establecimiento · Sin costo para la familia,👶 Cuidado seguro de niños después del horario escolar|📚 Apoyo en tareas y actividades educativas|🎨 Talleres recreativos y culturales|🍎 Alimentación durante la jornada extendida|🏃 Actividades deportivas y de recreación,Una madre de Copiapó pudo mantener su trabajo porque el Programa 4 a 7 cuida a sus dos hijos desde las 16:00 hasta las 20:00 hrs en su colegio.
21,nacional,Bono Marzo — Aporte Familiar Permanente,MDSF / IPS,"Bono anual que se paga automáticamente en marzo a familias con cargas familiares o que reciben beneficios del Estado como SUF, asignación familiar u otros.",cerrado,Varía según tramo RSH,No requerido,"Familias del 60% más vulnerable según RSH que reciban SUF, asignación familiar o maternal.",Social,Nacional,,Mar 2026,Pago automático,https://chileatiende.gob.cl/temas/aporte-familiar-permanente,No se postula. Se paga automáticamente a quienes cumplen los requisitos según RSH y beneficios que reciben.,No necesitas hacer nada · Si cumples requisitos te llega automáticamente · Consulta en chileatiende.gob.cl o en tu municipio si tienes dudas,💰 Dinero directo para familias vulnerables en marzo|🏠 Apoyo económico para gastos de inicio de año|📚 Complemento para útiles y uniformes escolares|🍎 Apoyo para alimentación familiar|🏥 Complemento para gastos de salud,"Una familia de 4 personas de La Pintana recibió automáticamente su Bono Marzo sin tener que postular, porque ya tenía el SUF activo."
22,nacional,Pensión Garantizada Universal — PGU,IPS / Ministerio Previsión Social,Pensión mensual garantizada por el Estado para personas mayores de 65 años que no tengan pensión o tengan una pensión baja.,abierto,Hasta $214.296 mensual,No requerido,"Personas de 65 años o más, que vivan en Chile hace al menos 20 años, y que estén en el 90% de mayor vulnerabilidad según RSH.",Social,Nacional,,Permanente,Sin plazo,https://chileatiende.gob.cl/fichas/130457-aumento-de-la-pension-garantizada-universal-pgu,Tener 65 años o más. Vivir en Chile los últimos 20 años. Estar en el 90% de vulnerabilidad según RSH. No integrar el 10% de mayor renta.,Acércate al IPS o ChileAtiende más cercano · Consulta en chileatiende.gob.cl · Pídele a la municipalidad que te oriente · No necesitas abogado ni gestor,👴 Ingreso mensual garantizado para adultos mayores|💊 Complemento para gastos de medicamentos|🏠 Ayuda para pagar arriendo o servicios básicos|🍎 Apoyo para alimentación diaria|🚌 Complemento para movilización,Un adulto mayor de 72 años de Valparaíso que no tenía pensión comenzó a recibir la PGU completa luego de que su nieta lo ayudó a consultar en ChileAtiende.
